case_id,expected_status,pattern,bank_transaction_ids,erp_invoice_ids,gateway_transaction_ids,notes
H001,MATCHED,1:1_EXACT_NOISY,B00001,E00001,G00001,Exact settlement with realistic date/reference noise.
H002,MATCHED,1:1_EXACT_NOISY,B00002,E00002,G00002,Exact settlement with realistic date/reference noise.
H003,MATCHED,1:1_EXACT_NOISY,B00003,E00003,G00003,Exact settlement with realistic date/reference noise.
H004,MATCHED,1:1_EXACT_NOISY,B00004,E00004,G00004,Exact settlement with realistic date/reference noise.
H005,MATCHED,1:1_EXACT_NOISY,B00005,E00005,G00005,Exact settlement with realistic date/reference noise.
H006,MATCHED,1:1_EXACT_NOISY,B00006,E00006,G00006,Exact settlement with realistic date/reference noise.
H007,MATCHED,1:1_EXACT_NOISY,B00007,E00007,G00007,Exact settlement with realistic date/reference noise.
H008,MATCHED,1:1_EXACT_NOISY,B00008,E00008,G00008,Exact settlement with realistic date/reference noise.
H009,MATCHED,1:1_EXACT_NOISY,B00009,E00009,G00009,Exact settlement with realistic date/reference noise.
H010,MATCHED,1:1_EXACT_NOISY,B00010,E00010,G00010,Exact settlement with realistic date/reference noise.
H011,MATCHED,1:1_EXACT_NOISY,B00011,E00011,G00011,Exact settlement with realistic date/reference noise.
H012,MATCHED,1:1_EXACT_NOISY,B00012,E00012,G00012,Exact settlement with realistic date/reference noise.
H013,MATCHED,1:1_EXACT_NOISY,B00013,E00013,G00013,Exact settlement with realistic date/reference noise.
H014,MATCHED,1:1_EXACT_NOISY,B00014,E00014,G00014,Exact settlement with realistic date/reference noise.
H015,MATCHED,1:1_EXACT_NOISY,B00015,E00015,G00015,Exact settlement with realistic date/reference noise.
H016,MATCHED,1:1_EXACT_NOISY,B00016,E00016,G00016,Exact settlement with realistic date/reference noise.
H017,MATCHED,1:1_EXACT_NOISY,B00017,E00017,G00017,Exact settlement with realistic date/reference noise.
H018,MATCHED,1:1_EXACT_NOISY,B00018,E00018,G00018,Exact settlement with realistic date/reference noise.
H019,MATCHED,1:1_EXACT_NOISY,B00019,E00019,G00019,Exact settlement with realistic date/reference noise.
H020,MATCHED,1:1_EXACT_NOISY,B00020,E00020,G00020,Exact settlement with realistic date/reference noise.
H021,MATCHED,1:1_EXACT_NOISY,B00021,E00021,G00021,Exact settlement with realistic date/reference noise.
H022,MATCHED,1:1_EXACT_NOISY,B00022,E00022,G00022,Exact settlement with realistic date/reference noise.
H023,MATCHED,1:1_EXACT_NOISY,B00023,E00023,G00023,Exact settlement with realistic date/reference noise.
H024,MATCHED,1:1_EXACT_NOISY,B00024,E00024,G00024,Exact settlement with realistic date/reference noise.
H025,MATCHED,1:1_EXACT_NOISY,B00025,E00025,G00025,Exact settlement with realistic date/reference noise.
H026,MATCHED,1:1_EXACT_NOISY,B00026,E00026,G00026,Exact settlement with realistic date/reference noise.
H027,MATCHED,1:1_EXACT_NOISY,B00027,E00027,G00027,Exact settlement with realistic date/reference noise.
H028,MATCHED,1:1_EXACT_NOISY,B00028,E00028,G00028,Exact settlement with realistic date/reference noise.
H029,MATCHED,1:1_EXACT_NOISY,B00029,E00029,G00029,Exact settlement with realistic date/reference noise.
H030,MATCHED,1:1_EXACT_NOISY,B00030,E00030,G00030,Exact settlement with realistic date/reference noise.
H031,MATCHED,1:1_EXACT_NOISY,B00031,E00031,G00031,Exact settlement with realistic date/reference noise.
